HR,Flam,Bayer,Con,Dbl,Cmp,RA,m,s,,Dec m,,s,Vmag,B_V,U-B,Spec. Type,pmRA,pmD,Parallax,RV
2652,,,,,,7,0,51.5,S,51,24,9,5.14,1.61,1.92,  M1III,-0.015,0.016,-0.014,5
2653,24,Omi2,CMa,,,7,3,1.5,S,23,50,0,3.02,-0.08,-0.8,  B3Iab,-0.004,0.003,,48
2654,,,,,,7,4,20.2,N,1,29,18,6.57,0.01,-0.07,  A0V,0.002,-0.012,,7
2655,,,,,,7,4,5.2,S,5,19,25,5.62,1.29,1.24,  K3III,-0.007,0.009,,40
2656,,,,,,7,3,57.3,S,10,7,27,6.45,-0.08,-0.31,  B9IIIn,-0.025,-0.011,,24
2657,23,Gam,CMa,,,7,3,45.5,S,15,38,0,4.12,-0.12,-0.48,  B8II,-0.002,-0.008,,32
2658,,,,,,7,2,15.6,S,43,24,15,6.43,-0.04,-0.09,  A0V,0.015,-0.012,,31
2659,44,,Gem,,,7,5,18.4,N,22,38,14,6.02,-0.03,-0.08,  B8Vn,-0.006,-0.013,,-11
2660,,,,,,7,6,11.6,N,34,28,26,5.55,0.91,0.55,  G8IV,-0.055,-0.048,0.036,5
2661,,,,,,7,1,5.1,S,58,56,24,6.02,0.3,,  A8III,-0.058,0.144,,10
2662,,,,,,6,59,50.5,S,67,54,58,5.17,1.4,1.65,  K3III,-0.033,0.241,0.037,39
2663,,,,,,7,5,39.1,N,9,11,9,5.78,1.52,1.87,  M0III,0.048,-0.02,,46
2664,,,,,,7,4,47.1,S,22,1,56,6.09,1.22,1.35,  K0,0.02,-0.058,,77
2665,,,,,,7,7,22.3,N,34,0,34,5.91,1.51,, gK4,-0.028,-0.025,,14
2666,,,,,,7,4,2.8,S,42,20,14,5.2,0.2,0.15,  Am,-0.008,0.072,0.025,28
2667,,,,,A,7,3,57.3,S,43,36,29,5.54,0.64,0.04,  G3V,-0.105,0.386,0.052,86
2668,,,,,B,7,3,58.8,S,43,36,42,6.79,0.8,0.36,  K0V,-0.109,0.371,0.052,90
2669,,,,,,7,7,25,N,28,10,38,6.48,-0.09,-0.25,  B9V,0.006,0.02,,-16
2670,,,,5782,,7,5,49.7,S,10,39,40,6.49,-0.05,-0.89,  B0.5V+F5III,0,-0.029,,16
2671,,,,,,7,7,21.4,N,22,42,13,7.68,2.21,1.85,  S3.9e,0.003,-0.002,,-41
2672,,,,,,7,3,53.7,S,49,35,2,4.93,0.13,0.12,  A4IV,-0.045,0.146,0.02,27
2673,,,,,,7,8,13.3,N,33,49,56,6.28,1.34,1.54,  K1,-0.01,-0.03,,-3
2674,,,,,,7,3,15.6,S,59,10,41,5.5,-0.11,-0.47,  B9IV,0.022,0.009,0.014,7
2675,,,,,,7,8,36.3,N,37,26,42,6.16,1.21,,  K1III,-0.008,-0.013,,10
2676,,,,,,7,7,6.4,N,4,54,37,6.11,-0.13,-0.47,  B9.5III,-0.033,-0.02,,6
2677,,,,,,7,5,32,S,34,46,40,6.14,0.37,0.03,  F2V,-0.043,0.041,0.034,19
2678,,,,5795,,7,6,40.7,S,11,17,39,5.39,0.05,-0.85,  B0.5IV,-0.011,-0.005,,31
2679,,,,,,7,6,35.9,S,12,23,38,6.48,-0.1,-0.99,  O7.5V,-0.018,0.007,,33
2680,,,,,,7,6,0.6,S,30,39,20,6.34,-0.16,-0.63,  B3V,0,0.009,,5
2681,,,,,,7,13,58.1,N,71,49,0,6.35,1.12,,  K0,0.025,0.02,,-68
2682,,,,,,7,7,49.5,N,7,28,16,5.75,1.18,1.08, gK0,0.007,-0.036,,24
2683,,,,,,7,4,18.3,S,56,44,59,5.17,-0.04,,  A0pSi,0.005,-0.001,-0.015,30
2684,45,,Gem,5812,,7,8,22,N,15,55,51,5.44,1.03,0.8,  G8III,-0.008,-0.099,0.007,-17
2685,,,,,,7,6,2.3,S,38,22,58,6.11,0.7,,  G0IIaCH1,0.014,0.017,,22
2686,,,,,,7,6,52.3,S,24,57,38,6.08,1.34,1.51,  K2,-0.031,0.007,,19
2687,,,,,,7,5,16.5,S,50,21,37,6.46,,,  K3III,-0.011,0.032,,13
2688,,,,,,7,7,0.1,S,26,39,28,6.62,-0.17,-0.77,  B2IV-V,0.016,-0.032,,4
2689,,The,Men,,,6,56,34.4,S,79,25,13,5.45,0.05,-0.07,  B9.5V,-0.007,0,,6
2690,,,,,,7,7,22.6,S,23,50,25,5.71,-0.1,-0.89,  B2IVe,-0.005,0.023,,29
2691,,,,,,7,7,7.1,S,40,53,36,5.79,-0.17,-0.67,  B3V,-0.007,0.004,,6
2692,,,,,,7,10,6.7,N,21,14,49,6.43,0.89,0.5,  G9V,-0.167,-0.478,0.029,-15
2693,25,Del,CMa,,,7,8,23.5,S,26,23,36,1.84,0.68,0.54,  F8Ia,-0.003,0.004,-0.011,34
2694,,,,,,7,9,20.3,S,10,20,50,6.21,0.03,-0.89,  O6.5V,0.005,-0.02,,58
2695,,,,,,7,8,49.3,S,24,2,39,6.65,-0.19,-0.81,  B2V,-0.013,-0.009,,57
2696,63,,Aur,,,7,11,39.3,N,39,19,14,4.9,1.45,1.74,  K4III-IIIa,0.044,0.003,0.023,-27
2697,46,Tau,Gem,5846,,7,11,8.4,N,30,14,43,4.41,1.26,1.41,  K2-III,-0.03,-0.045,0.007,22
2698,,,,,,7,7,13.3,S,51,58,4,5.96,1,0.82,  K0III,-0.008,0.057,,29
2699,,,,5837,,7,9,33.2,S,16,14,5,6.03,0.06,-0.79,  B1II,-0.022,-0.009,,6
2700,47,,Gem,,,7,11,23.1,N,26,51,24,5.78,0.1,0.13,  A4IV,-0.023,-0.036,,39
2701,20,,Mon,,,7,10,13.7,S,4,14,14,4.92,1.03,0.78,  K0III,0,0.215,0.03,79
2702,,,,,,7,8,51.1,S,39,39,21,4.83,-0.18,-0.69,  B2IV-V,-0.009,0.002,,20
2703,,,,,,7,13,23.4,N,51,25,44,5.47,1.67,1.9,  M3-III,0.006,0.014,0.003,-51
2704,,,,,,7,9,42.9,S,25,13,52,5.69,-0.16,-0.77,  B2.5IV,-0.012,0.006,,27
2705,,,,,,7,10,9.3,S,18,41,7,6.23,0.4,,  F0,-0.01,0.016,,33
2706,48,,Gem,,,7,12,26.4,N,24,7,42,5.85,0.36,0.09,  F5III-IV,-0.022,-0.048,,13
2707,21,,Mon,,,7,11,23.6,S,0,18,7,5.45,0.29,0.14,  A8Vn-F3Vn,-0.031,-0.011,0.021,30
2708,,,,,,7,10,19.4,S,27,29,29,5.46,1,,  G8III,-0.003,0.009,,15
2709,,,,,,7,25,21.9,N,81,15,27,6.31,-0.04,-0.09,  A0III,-0.005,-0.026,,-8
2710,,,,,,7,11,51.3,N,5,39,17,6.09,-0.02,-0.05,  A1V,-0.017,-0.008,,42
2711,,,,5871,,7,12,49,N,27,13,29,6.43,0.49,-0.02,  F8V,0.01,-0.104,0.027,-13
2712,,,,,,7,6,14.1,S,68,50,14,6.47,1.04,0.87,  K0III,-0.004,0.008,,-14
2713,,,,,,7,12,7.4,N,5,28,29,6.16,1.14,0.97,  K0III,-0.036,0.005,,20
2714,22,Del,Mon,5864,,7,11,51.9,S,0,29,34,4.15,-0.01,0.02,  A2V,-0.001,0.005,0.016,15
2715,18,,Lyn,,,7,15,54.9,N,59,38,15,5.2,1.07,1.01,  K2III,-0.101,-0.259,0.042,24
2716,,,,,,7,11,41.6,S,20,52,59,5.84,-0.04,-0.05,  A0V,-0.003,0.022,,18
2717,51,,Gem,,,7,13,22.3,N,16,9,32,5,1.66,1.82,  M4IIIab,0.013,-0.042,0.011,-9
2718,26,,CMa,,,7,12,12.2,S,25,56,33,5.92,-0.17,-0.71,  B2V,-0.009,0.011,,22
2719,,,,,,7,10,47.5,S,48,55,56,5.14,1.24,1.29,  K2III,-0.012,0.192,0.031,64
2720,,,,,,7,12,4.1,S,30,49,18,6.1,0.27,0.06,  A8V,-0.039,0.015,,6
2721,,,,,,7,15,50.1,N,47,14,24,5.58,0.58,0.03,  G0V,0.03,-0.183,0.037,85
2722,,,,,,7,14,26.6,N,24,42,39,6.89,-0.03,-0.07,  A1p,0.003,-0.016,,3
2723,,,,,,7,13,7.2,S,11,15,5,5.78,1.51,1.76,  K0,-0.003,0.008,,9
2724,,,,,,7,12,24.1,S,27,28,27,6.59,0.19,,  A5IV-V,-0.025,0.008,,-8
2725,52,,Gem,5909,,7,14,41.9,N,24,53,6,5.82,1.56,1.83,  M1III,0.047,-0.092,,47
2726,,,,,,7,12,25.7,S,36,32,40,5.96,-0.14,-0.62,  B3V,-0.022,0.004,0.004,17
2727,,,,,,7,12,15.8,S,40,29,56,5.31,0.06,0.09,  A3p,-0.018,-0.015,0.009,17
2728,,,,,,7,14,32.6,N,12,6,57,5.62,1.01,0.77,  G6III,-0.05,-0.02,,30
2729,,,,,,7,14,20,N,3,6,41,5.35,1.19,1.18,  K2II,-0.006,-0.002,,37
2730,,,,,,7,13,23.9,S,22,40,24,6.01,1.48,1.69,  K2III,0.006,-0.008,,-5
2731,,,,5911,,7,14,11,S,3,54,5,5.75,1.58,1.89,  K5III,-0.015,0.007,,22
2732,,,,,,7,14,15.5,S,9,56,51,5.9,1.52,1.72,  K3III,-0.004,0.004,,43
2733,,,,5912,,7,13,48.3,S,22,54,23,6.36,-0.21,-0.83,  B2IV+G5IV,-0.012,-0.017,,17
2734,,,,,,7,13,36.3,S,27,21,23,6.12,-0.23,-1.01,  B0.5V,-0.025,0.006,,43
2735,,Gam1,Vol,,B,7,8,42.2,S,70,29,50,5.69,0.4,0.04,  F2V,0.007,0.101,0.016,-3
2736,,Gam2,Vol,,A,7,8,44.9,S,70,29,56,3.78,1.04,0.88,  K0III,0.023,0.106,0.016,3
2737,,,,,,7,17,33.7,N,52,7,51,5.92,1.26,, gK1,-0.001,-0.025,,-7
2738,53,,Gem,,,7,15,57.1,N,27,53,51,5.71,1.63,2,  M1IIIa,-0.016,0.001,0.008,24
2739,,,,,,7,14,28.2,S,10,19,0,6.03,-0.18,-0.97,  B0III,-0.004,-0.011,,33
2740,,,,,,7,12,33.6,S,46,45,34,4.49,0.32,-0.01,  F0IV,-0.132,0.103,0.048,-1
2741,,,,,,7,13,47.1,S,31,5,2,6.6,-0.17,-0.76,  B2IV,-0.014,-0.002,,28
2742,,,,,,7,31,4.4,N,82,24,41,4.96,1.66,1.8,  M4IIIa,-0.006,-0.042,0.001,14
2743,,,,,,7,13,57.2,S,30,20,24,6.33,-0.2,-0.83,  B2IV-V,-0.015,-0.006,,24
2744,24,,Mon,5933,,7,15,19.3,S,0,9,41,6.41,0.9,0.57,  G5III,-0.02,-0.002,0.011,-10
2745,27,,CMa,,,7,14,15.2,S,26,21,9,4.66,-0.19,-0.71,  B3IIIe,-0.009,0.007,,0
2746,,,,,,7,13,13.4,S,45,10,59,4.89,-0.02,-0.07,  A0pSi,-0.019,-0.099,0.01,4
2747,,,,,,7,15,39.4,N,7,58,40,5.82,1.6,1.71,  M4-IIIab,0.029,0.007,,-9
2748,,,,,,7,13,32.4,S,44,38,23,5.1,1.56,,  M5IIIe,0.114,0.33,0.022,53
2749,28,Ome,CMa,,,7,14,48.7,S,26,46,22,3.85,-0.17,-0.73,  B2IV-Ve,-0.008,0.006,,26
2750,,,,,,7,14,51.1,S,27,2,17,5.58,1.22,1.29,  K4III,-0.049,-0.03,,15
2751,,,,,,7,18,31.9,N,49,27,54,5.05,0.08,0.09,  A4IIIn,-0.004,0.014,0.008,-12
2752,,,,,,7,15,43.1,S,10,35,2,5.95,1.18,1.18,  K0,0.011,-0.007,,-13
2753,64,,Aur,,,7,18,2.2,N,40,53,0,5.78,0.17,0.12,  A5Vn,-0.015,0.013,,-10
2754,,,,,,7,12,2,S,63,11,24,6.02,-0.02,,  A0IV-V,-0.003,0,0.005,0
2755,,,,,,7,15,47.5,S,23,44,26,6.32,,,  A0,0.017,0.007,,34
2756,,,,,,7,15,21,S,30,41,11,5.36,-0.17,-0.65,  B3V,-0.018,0.013,,33
2757,,,,,,7,18,4.1,N,30,57,21,6.24,-0.03,-0.1,  A0Vn,-0.004,-0.028,,27
2758,,,,,,7,16,14.5,S,15,35,9,5.46,0.08,0.06,  A2Vnp,-0.05,-0.015,0.041,10
2759,,,,,,7,14,57.1,S,41,25,33,5.94,-0.16,,  B4III-IV,0.009,0.022,,21
2760,,,,,,7,17,17.8,N,6,40,50,6.65,-0.11,-0.41,  B8III,0.001,-0.015,,9
2761,,,,,,7,14,45.9,S,46,50,59,5.72,-0.11,-0.46,  A0p,-0.018,-0.008,,40
2762,,,,,,7,14,38.2,S,48,16,18,4.76,-0.1,-0.29,  B8-9V,0.004,0.004,,39
2763,54,Lam,Gem,5961,,7,18,5.6,N,16,32,25,3.58,0.11,0.1,  A3V,-0.048,-0.037,0.047,-9
2764,,,,5951,,7,16,36.8,S,23,18,56,4.79,1.71,1.87,  K3Ib-II,-0.01,0.002,0.019,28
2765,,,,,,7,17,31.7,S,6,40,48,6.29,1.62,1.96,  K2,-0.014,0.011,,9
2766,,,,,,7,16,35,S,27,52,52,4.64,1.6,1.88,  M3III,-0.01,0.043,0.012,42
2767,,,,,,7,15,21,S,52,29,59,5.97,1.1,,  K1III,-0.058,0.103,,39
2768,,,,,,7,16,57.2,S,30,53,48,6.32,0.2,0.19,  A9II,0.005,-0.021,,-5
2769,,,,,,7,16,31.8,S,38,19,8,5.8,-0.13,-0.59,  B4V,-0.015,0.005,,45
2770,,,,,,7,16,49.5,S,36,35,34,5.03,-0.17,-0.69,  B2IV-V,0.001,-0.002,,9
2771,,,,,,7,16,15.5,S,46,46,28,5.66,1.44,1.67,  K4III,0.009,0.035,,20
2772,47,,Cam,5995,,7,22,17.2,N,59,54,7,6.35,,,  A8m,0.003,0.014,0.015,7
2773,,Pi,Pup,,,7,17,8.6,S,37,5,51,2.7,1.62,1.24,  K3Ib,-0.009,0.004,0.032,16
2774,,,,,,7,17,47.9,S,26,47,51,6.46,-0.15,-0.61,  B2IV-V,-0.01,0.001,,15
2775,,,,,,7,21,3.1,N,42,39,20,6.35,1.46,1.58,  K0,-0.019,-0.046,,46
2776,,,,,,7,21,17.5,N,45,13,41,5.77,0.32,0,  A7 s,-0.048,0.004,,25
2777,55,Del,Gem,5983,,7,20,7.4,N,21,58,56,3.53,0.34,0.04,  F2IV,-0.026,-0.012,0.061,4
2778,,,,,,7,19,22.4,N,2,44,26,5.89,1.07,0.82,  G9III,0,-0.013,,24
2779,,,,,,7,19,47.6,N,7,8,34,5.91,0.53,0.07,  F8V,0.06,-0.063,,22
2780,,,,,,7,20,6.9,N,15,8,34,6.45,-0.02,0.07,  A2Vn,0.011,-0.017,,13
2781,29,,CMa,,,7,18,40.3,S,24,33,32,4.98,-0.15,-1.01,  O7Ia:fp,-0.006,0,,-11
2782,30,Tau,CMa,5977,,7,18,42.4,S,24,57,15,4.4,-0.15,-0.99,  O9Ib,-0.009,0.01,,40
2783,19,,Lyn,6012,B,7,22,50.9,N,55,17,4,6.53,,,  B9V,0.004,-0.024,0.011,10
2784,19,,Lyn,6012,A,7,22,52.1,N,55,16,53,5.45,,,  B8V,-0.003,-0.029,0.011,5
2785,,,,,,7,19,2,S,19,16,49,6.09,0.62,0.35,  F0Iab-Ib,0.008,0.002,,62
2786,,,,,,7,18,51.2,S,26,35,9,5.28,0.96,0.65,  G2Ib,-0.017,0.008,0.017,32
2787,,,,,,7,18,18.4,S,36,44,3,4.66,-0.1,-0.8,  B2V+B3IV,-0.003,0.001,,19
2788,,,,,,7,19,28.1,S,16,23,42,5.7,0.35,0.04,  F1V,0.157,-0.132,0.04,-39
2789,,,,,,7,18,4.2,S,43,59,12,5.85,-0.12,-0.48,  B8II-III,-0.015,0.001,,13
2790,,,,,,7,18,38.2,S,36,44,34,5.11,-0.16,-0.66,  B2IVne,-0.002,0.003,,18
2791,,,,,,7,18,33.6,S,39,12,37,5.25,0.01,0.07,  A1V,0.01,0.007,0.014,32
2792,,,,,,7,22,13.4,N,38,59,46,6.4,1.22,1.23,  K0,-0.003,-0.038,,3
2793,65,,Aur,6009,,7,22,2.6,N,36,45,38,5.13,1.08,0.94,  K0III,-0.098,-0.023,0.022,23
2794,,,,,,7,19,13.7,S,33,43,38,6.3,1.31,,  K2-3III,-0.013,-0.013,,-2
2795,56,,Gem,6016,,7,21,56.8,N,20,26,37,5.1,1.52,1.87,  M0IIIab,-0.066,-0.027,0.002,4
2796,,,,,,7,20,58.2,S,14,21,36,5.45,0.98,0.63, gG5,-0.018,0.016,,13
2797,,,,,,7,34,39.7,N,80,53,48,6.41,,, gG7,-0.01,0.003,,-2
2798,,,,,,7,21,16.9,S,8,52,42,6.55,0.54,0.04,  F5,0.036,-0.156,,-7
2799,,,,,,7,20,53.2,S,22,51,6,6.61,-0.15,,  B2.5V,0.006,-0.042,,10
2800,,,,6015,,7,20,55,S,26,57,49,6.01,-0.17,-0.7,  B2.5V,0.01,0.019,,18
2801,,,,,,7,22,3.5,N,0,10,38,5.99,-0.07,-0.29,  B8III,0.001,0.004,,-10
2802,,,,,,7,21,4.3,S,25,53,29,5.87,1.64,1.9,  M4III,-0.012,0.025,,23
2803,,Del,Vol,,,7,16,49.8,S,67,57,26,3.98,0.79,0.45,  F6II,-0.007,0.005,0.004,23
2804,,,,,,7,24,57.2,N,51,53,14,5.8,1.61,1.96,  K5III,0.014,-0.035,,18
2805,66,,Aur,,,7,24,8.5,N,40,40,20,5.19,1.23,1.24,  K1+IIIa,-0.006,-0.023,0.007,21
2806,,,,,,7,22,2,S,8,58,45,6.43,-0.19,-1.04,  O9V,0.006,0.021,,23
2807,,,,,,7,22,18.5,S,2,58,44,6.23,0.68,0.35,  F5,-0.016,0.003,,-15
2808,57,,Gem,,,7,23,28.5,N,25,3,2,5.03,0.9,0.57,  G8III,-0.069,-0.023,0.022,6
2809,,,,,,7,27,25.8,N,66,19,54,6.47,-0.09,-0.19,  B9III,-0.012,-0.032,,7
2810,58,,Gem,,,7,23,28.2,N,22,56,43,6.02,-0.01,-0.01,  A1V,-0.022,-0.036,,15
2811,,,,,,7,22,25.4,S,5,58,58,5.82,0.35,0.19,  F3IV,-0.011,-0.004,,11
2812,,,,,,7,22,13.5,S,19,1,0,4.96,-0.04,-0.39,  B7IV,-0.006,-0.008,,27
2813,,,,,A,7,20,21.4,S,52,18,42,6.05,0.42,-0.02,  F0-2IV-V,-0.036,0.134,0.038,22
2814,,,,,B,7,20,21.7,S,52,18,35,6.6,0.59,0.05,  G0V:e,-0.04,0.124,0.038,35
2815,,,,,,7,20,38.7,S,52,5,10,5.39,-0.07,,  B9II-III,-0.019,-0.007,,18
2816,59,,Gem,,,7,24,33.4,N,27,38,17,5.76,0.34,0.08,g:F0,0.012,0.017,,-5
2817,,,,,,7,24,27.7,N,15,31,2,6.41,-0.18,-0.84,  B2Ve,0.011,0.004,,37
2818,21,,Lyn,,,7,26,42.8,N,49,12,41,4.64,-0.02,-0.01,  A1V,-0.013,-0.05,0.012,27
2819,,,,,,7,23,0.6,S,31,55,26,5.43,-0.15,-0.68,  B5IIIn,-0.014,0.004,,24
2820,1,,CMi,,,7,24,58.2,N,11,40,11,5.3,0.1,0.13,  A5IV,-0.017,-0.014,0.015,-1
2821,60,Iot,Gem,,,7,25,43.6,N,27,47,53,3.79,1.03,0.85,  G9IIIb,-0.123,-0.086,0.032,8
2822,,,,,,7,23,29.1,S,27,50,3,5.38,1.53,1.83,  K2III,0.045,0.005,0.013,48
2823,,,,,,7,23,31.9,S,32,12,8,5.39,-0.18,-0.69,  B3III-IV,-0.009,0.004,,21
2824,,,,,,7,23,54.3,S,30,13,1,6.6,-0.2,-0.79,  B2IV-V,-0.019,0.009,,7
2825,,,,,,7,24,40.1,S,16,12,4,5.33,-0.05,-0.6,  B2.5IVe,-0.014,-0.01,,2
2826,,,,,,7,24,17.2,S,22,54,46,6.19,-0.09,-0.36,  B8,-0.016,0,,32
2827,31,Eta,CMa,,,7,24,5.7,S,29,18,11,2.45,-0.08,-0.72,  B5Ia,-0.004,0.005,,41
2828,2,Eps,CMi,,,7,25,38.9,N,9,16,34,4.99,1.01,0.78,  G6.5IIb,-0.006,-0.011,0.008,-8
2829,,,,,,7,23,58.3,S,35,50,16,6.31,-0.15,-0.55,  B7III,-0.018,0.018,,28
2830,,,,,,7,30,52.7,N,68,27,56,5.64,1.11,0.89, gK2,-0.01,-0.038,0.011,56
2831,,,,,,7,24,50.7,S,19,0,44,6.24,0.29,0,  A2Ib,-0.021,0.005,,70
2832,,,,,,7,25,8.3,S,13,45,7,5.78,0.42,,  F0V,-0.204,-0.004,0.037,7
2833,,,,,,7,25,51,S,5,46,30,5.97,0.92,0.62,  G3Ib,-0.029,-0.004,,14
2834,,,,,,7,24,43.8,S,31,48,32,5.35,1.07,0.91,  G8II,-0.02,0.01,-0.021,20
2835,,,,,,7,26,50.2,N,21,32,9,6.54,0.46,,  F6V,-0.315,-0.02,0.038,47
2836,,,,,,7,26,27.9,N,10,36,30,6.37,0.09,0.06,  A2IV,-0.021,0.005,,-10
2837,61,,Gem,,,7,26,56.3,N,20,15,26,5.93,0.3,0.1,  F2Vn,-0.005,-0.019,,9
2838,,,,,,7,26,3.5,S,4,32,15,6.76,-0.01,-0.11,  A0IV,0.009,-0.018,,-2
2839,,,,,,7,25,19.9,S,21,58,58,6.05,0.23,,  A8I-II:,-0.01,0.003,,41
2840,,,,,,7,26,41.3,N,11,0,33,6.41,-0.13,-0.46,  B6IV,0.009,-0.002,,29
2841,,,,,,7,25,25.3,S,25,13,4,5.78,-0.1,-0.39,  B7III,-0.005,-0.002,,24
2842,,,,,B,7,24,47.2,S,37,17,24,6.97,0.22,0.15,  F0V:,0.016,0.009,0.003,26
2843,,,,,A,7,24,47.3,S,37,17,27,6.84,0.27,0.15,  F0V:,-0.02,0.044,0.003,18
2844,,,,6095,,7,28,51.6,N,48,11,2,5.72,-0.1,-0.41,  B9p,0.007,-0.049,,21
2845,3,Bet,CMi,,,7,27,9,N,8,17,22,2.9,-0.09,-0.28,  B8Ve,-0.052,-0.038,0.019,22
2846,63,,Gem,6089,,7,27,44.4,N,21,26,42,5.22,0.39,-0.04,  F5V+F5V,-0.058,-0.121,0.041,25
2847,,,,,,7,25,43,S,31,44,19,6.31,-0.17,-0.7,  B2V,0,0.007,,10
2848,,,,,,6,46,58.7,S,87,1,30,6.47,0.42,-0.07,  F3V,0.006,0.004,,4
2849,22,,Lyn,,,7,29,56,N,49,40,21,5.36,0.45,-0.06,  F6V,0.114,-0.08,0.042,-27
2850,,,,,,7,26,40.7,S,23,42,44,6.56,0.01,,  A1,-0.006,0.023,,27
2851,5,Eta,CMi,6101,,7,28,2.1,N,6,56,31,5.25,0.22,0.17,  F0III,-0.004,-0.044,0.01,18
2852,62,Rho,Gem,6109,,7,29,6.7,N,31,47,4,4.18,0.32,-0.03,  F0V,0.155,0.175,0.062,-4
2853,,,,6093,,7,27,8,S,17,51,52,5.63,0.32,,  A5n,0.002,0.015,,-29
2854,4,Gam,CMi,6100,,7,28,9.8,N,8,55,32,4.32,1.43,1.54,  K3-III,-0.062,0.017,0.019,47
2855,,,,,,7,26,59.4,S,23,5,10,5.61,-0.13,-0.98,  B0IV:pe,-0.012,0.004,,25
2856,,,,,,7,26,42.3,S,34,8,27,5.9,-0.17,-0.68,  B2IV-V,-0.027,0,,7
2857,64,,Gem,,,7,29,20.4,N,28,7,5,5.05,0.11,0.12,  A4V,-0.041,-0.056,0.008,35
2858,,,,,,7,28,47.3,N,15,6,34,6.22,-0.05,-0.11,  B9IV,0.004,-0.025,,34
2859,,,,6104,AB,7,27,51.7,S,11,33,25,5.79,0.58,-0.21,  G8Ib-II+B2,-0.004,-0.001,,15
2860,,,,,,7,27,42.9,S,22,51,35,5.95,-0.09,-0.41,  B5V:,-0.005,-0.017,,26
2861,65,,Gem,6119,,7,29,48.7,N,27,54,58,5.01,1.11,1.03,  K2III,-0.034,-0.024,0.018,36
2862,,,,,,7,26,21.9,S,51,1,6,5.1,1.06,,  K0III,0.001,0.008,0.007,8
2863,,,,,,7,27,59.2,S,29,9,21,5.54,-0.08,-0.15,  B9Vp,-0.006,0.008,,4
2864,6,,CMi,,,7,29,47.8,N,12,0,24,4.54,1.28,1.37,  K1+III,0,-0.019,0.029,-15
2865,,,,,,7,29,18.7,S,1,54,19,5.59,1.5,1.76,  K5III,-0.015,-0.005,,-5
2866,,,,,,7,29,25.7,S,7,33,4,5.86,0.48,-0.02,  F8V,0.064,0.131,,9
2867,,,,,,7,29,22.1,S,10,19,36,5.75,1.62,1.99,  K5III,-0.001,0.001,,-7
2868,,,,6126,,7,29,21.9,S,14,59,57,6.05,0.47,-0.07,  F7V,-0.185,-0.254,0.027,-6
2869,,,,,,7,28,22.8,S,37,48,37,6.58,0.06,0.04,  A1IV,-0.02,-0.05,,-1
2870,,,,,A,7,28,51.3,S,31,50,54,6.38,-0.17,-0.7,  B3V,0.008,0.003,,2
2871,,,,,B,7,28,51.5,S,31,50,49,7.13,-0.15,-0.6,  B4V,-0.036,0.003,,4
2872,,,,,,7,31,55.7,N,38,53,47,6.54,0.07,0.04,  A2V,-0.035,-0.014,,7
2873,,,,,,7,29,4.9,S,31,27,23,5.77,-0.19,-0.75,  B2V,-0.014,0.002,,8
2874,,,,,,7,29,51.4,S,23,1,28,4.85,0.23,0.14,  A5Ib,-0.004,-0.006,-0.003,37
2875,,,,,,7,29,5.7,S,38,48,44,5.43,-0.16,,  B5Vp,-0.016,0.011,,24
2876,,,,,,7,30,51.1,S,5,13,35,6.24,1.18,1.06,  K0,-0.006,-0.002,,17
2877,,,,,,7,31,48.4,N,17,5,10,5.42,1.13,, gK2,0.043,-0.078,0.001,-40
2878,,Sig,Pup,,,7,29,13.8,S,43,18,5,3.25,1.51,1.78,  K5III,-0.055,0.187,0.02,88
2879,,,,6160,,7,32,50.6,N,22,53,16,6.54,1.01,0.77,  K0II-III+F8V,-0.025,-0.012,,30
2880,7,Del1,CMi,,,7,32,5.9,N,1,54,52,5.25,0.22,0.2,  F0III,-0.003,-0.003,0.016,29
2881,,,,,,7,30,42.5,S,30,57,44,4.65,0.93,0.64,  G3Ib,-0.021,0,0.023,14
2882,,,,,,7,30,42.4,S,37,20,23,6.65,0.63,,  G4V,-0.098,0.042,,9
2883,,,,6158,,7,32,5.8,S,8,52,51,5.9,0.54,-0.08,  F5V,-0.09,-0.157,,55
2884,,,,,,7,29,59.6,S,52,39,4,5.87,1.01,0.83,  K0III,-0.031,0.058,,26
2885,,,,,,7,31,25.8,S,36,9,10,6.68,-0.12,-0.57,  B4V,-0.004,0.022,,21
2886,68,,Gem,,,7,33,36.5,N,15,49,36,5.25,0.05,0.06,  A1Vn,-0.019,-0.012,0.011,12
2887,8,Del2,CMi,,,7,33,11.6,N,3,17,25,5.59,0.31,0.1,  F2V,-0.018,0.038,,1
2888,,,,,,7,28,51.3,S,64,30,36,6.39,1.56,1.85,  K5III,-0.011,-0.016,,14
2889,,,,,,7,31,42.8,S,35,53,16,6.61,-0.08,-0.36,  A0V,0.011,0.007,,-2
2890,66,Alp,Gem,6175,B,7,34,36,N,31,53,19,2.88,0.04,0.02,  A2Vm,-0.172,-0.099,0.067,-1
2891,66,Alp,Gem,6175,A,7,34,36,N,31,53,18,1.98,0.03,0.01,  A1V,-0.171,-0.098,0.067,6
2892,,,,,,7,30,30.9,S,54,23,58,5.96,1.56,1.96,  M1III,0.018,0.021,,49
2893,,,,,,7,34,5.1,N,10,34,6,6.28,-0.01,-0.06,  A1V,-0.005,-0.009,,-3
2894,,,,,,7,36,47,N,55,45,19,5.92,1.12,,  K2III,-0.015,-0.035,,1
2895,,,,,,7,32,22.3,S,35,57,41,6.3,-0.1,-0.36,  B9V,-0.012,0.005,,23
